id,created_at,person,product,role,updated_at,uuid
33,2024-05-06T17:34:41.669Z,18,5,,2024-05-06T17:34:41.669Z,161eb23c-ae82-49a0-a0ed-2428bc1de314
34,2024-05-06T17:34:41.679Z,19,5,,2024-05-06T17:34:41.679Z,2d8189ba-04d5-4d1b-b5c1-fd6f554e0712
35,2024-05-06T17:34:41.682Z,20,5,,2024-05-06T17:34:41.682Z,bf4bb8b7-dac2-4078-a57d-21ffde572cdb
36,2024-05-06T17:34:42.359Z,16,6,,2024-05-06T17:34:42.359Z,f5c98794-4792-4501-9dc2-40921a9f9092
37,2024-05-06T17:34:42.363Z,17,6,,2024-05-06T17:34:42.363Z,6ee6878a-fcf5-49e0-b2d4-3544fc65e560
38,2024-05-06T17:34:42.376Z,18,6,,2024-05-06T17:34:42.376Z,97448df5-7a6e-43ed-8c75-445eac39972b
39,2024-05-06T17:34:42.387Z,19,6,,2024-05-06T17:34:42.387Z,62bccd03-9164-4a61-9d6f-09c1d4d36808
40,2024-05-06T17:34:42.390Z,20,6,,2024-05-06T17:34:42.390Z,e84d2d10-7850-402a-b4c0-37f5cc5da594
41,2024-05-06T17:34:43.083Z,16,7,,2024-05-06T17:34:43.083Z,e46944a0-b587-4842-9517-a3bc3f320997
42,2024-05-06T17:34:43.088Z,17,7,,2024-05-06T17:34:43.088Z,aac54944-ccb4-4fc2-abf9-b14cdde60c3f
43,2024-05-06T17:34:43.099Z,18,7,,2024-05-06T17:34:43.099Z,9d7a67d8-7fb2-489b-9855-e598d9c8d950
44,2024-05-06T17:34:43.108Z,19,7,,2024-05-06T17:34:43.108Z,70890817-423d-4bef-8435-040d9199780c
45,2024-05-06T17:34:43.110Z,20,7,,2024-05-06T17:34:43.110Z,c9e1b03c-6afc-440c-8f45-4ffa2e64bf1b
46,2024-05-06T17:34:43.788Z,16,8,,2024-05-06T17:34:43.788Z,6fc3015b-8940-4431-995d-9bd8f0980863
47,2024-05-06T17:34:43.793Z,17,8,,2024-05-06T17:34:43.793Z,d4f4bd83-5611-4a87-a8cb-2639964085d2
48,2024-05-06T17:34:43.804Z,18,8,,2024-05-06T17:34:43.804Z,b35bc503-6417-404e-ad45-213518b24c0e
49,2024-05-06T17:34:43.816Z,19,8,,2024-05-06T17:34:43.816Z,2cbee4b2-f8c7-4f34-83d0-751cfbaf65b9
50,2024-05-06T17:34:43.819Z,20,8,,2024-05-06T17:34:43.819Z,9703c388-44b2-4ee2-9d26-e13dd1d55494
51,2024-05-06T17:34:44.509Z,16,9,,2024-05-06T17:34:44.509Z,33288061-e197-4b1d-b1f2-8a0f7bb27913
52,2024-05-06T17:34:44.513Z,17,9,,2024-05-06T17:34:44.513Z,0bc5d2ec-729c-4d69-99a5-00d43fcd9e39
53,2024-05-06T17:34:44.525Z,18,9,,2024-05-06T17:34:44.525Z,b7fc3123-c80c-4fa6-9d23-1865069e6c61
54,2024-05-06T17:34:44.536Z,19,9,,2024-05-06T17:34:44.536Z,371de883-7c56-43b7-9926-356a1289c73c
55,2024-05-06T17:34:44.539Z,20,9,,2024-05-06T17:34:44.539Z,a6014a3a-412b-426f-bd45-5eba6a275c4b
56,2024-05-06T17:34:45.216Z,16,10,,2024-05-06T17:34:45.216Z,aa0f54e2-daf4-43ac-81f9-b922cef772cf
57,2024-05-06T17:34:45.220Z,17,10,,2024-05-06T17:34:45.220Z,3583d22c-7362-4cae-8554-4f1d1ae61a7d
58,2024-05-06T17:34:45.229Z,18,10,,2024-05-06T17:34:45.229Z,a896db56-81a0-486f-bfeb-d4da93cb06f8
59,2024-05-06T17:34:45.240Z,19,10,,2024-05-06T17:34:45.240Z,8fedf4cc-d92c-48e4-9e4b-775015645cae
60,2024-05-06T17:34:45.243Z,20,10,,2024-05-06T17:34:45.243Z,5141af53-c8c7-405f-b6e6-a277567170aa
61,2024-05-06T17:34:45.243Z,40,1,CONTRIBUTOR,2024-05-06T17:34:45.243Z,5141af53-c8c7-405f-b6e6-a277567170aa
62,2024-05-06T17:34:45.243Z,40,2,CONTRIBUTOR,2024-05-06T17:34:45.243Z,5141af53-c8c7-405f-b6e6-a277567170aa
63,2024-05-06T17:34:45.243Z,39,3,CONTRIBUTOR,2024-05-06T17:34:45.243Z,5141af53-c8c7-405f-b6e6-a277567170aa
63,2024-05-06T17:34:45.243Z,40,4,CONTRIBUTOR,2024-05-06T17:34:45.243Z,5141af53-c8c7-405f-b6e6-a277567170aa
